PR	5462	45669
PS	514	5375
PT	90	720
PU	1240	7664
PY	452	3423
PZ	2	8
QA	16	66
QI	15	72
QO	2	5
AA	18	73
AB	859	5771
AC	1278	9940
AD	880	6683
AE	319	2521
QU	1305	9590
AF	361	2666
AG	545	3723
QW	3	15
AH	29	107
AI	303	1810
AJ	12	45
AK	31	150
AL	1472	10119
AM	943	6639
AN	2780	24117
AO	16	97
AP	1035	7999
RA	1864	12204
AQ	101	766
AR	1377	9786
AS	1064	7910
AT	587	4127
RE	8820	68927
AU	837	6701
AV	288	1827
AW	128	631
RH	463	3655
AX	94	563
RI	943	5455
AY	31	146
AZ	86	460
RO	1379	8367
BA	2796	18456
BD	2	13
BE	2659	16985
RU	776	4612
BH	37	165
BI	1554	11151
RY	41	171
BL	1254	8419
BO	1840	10895
SA	2470	16291
SB	2	8
BR	1834	12312
SC	2580	18384
SD	21	114
SE	2852	21099
BU	1536	9320
SF	9	57
SG	2	14
BW	4	14
SH	2140	13486
SI	1524	9929
BY	94	460
SJ	6	43
SK	699	4126
SL	1022	6444
SM	514	3064
SN	770	4741
SO	1882	12548
SP	2744	19895
CA	4493	31559
SQ	416	2903
SR	6	23
SS	1	1
ST	4174	30319
CE	867	6252
SU	4315	36579
SV	14	94
SW	759	4537
CH	3435	25348
CI	802	6448
SY	1035	8352
CL	1427	9572
CN	9	57
CO	9058	75829
TA	1941	11730
CR	2005	14111
TC	8	54
CS	2	12
CT	10	68
TE	2255	16914
CU	1096	6825
CW	2	3
TH	1860	14648
TI	958	5645
CY	568	4527
TJ	2	13
CZ	24	143
TM	2	8
TO	1660	9990
DA	1051	6012
TR	3503	28177
TS	84	515
DE	5672	46504
TU	897	5601
TW	352	2001
DH	43	195
DI	5305	45172
TY	255	1630
DJ	14	68
TZ	39	220
DO	1633	10215
UA	2	9
UB	20	150
DR	1041	6570
UC	1	4
DS	6	17
UD	17	79
UE	2	3
DU	781	4489
UF	7	38
DV	4	22
UG	27	137
DW	55	290
UH	4	14
UI	8	60
DY	276	2027
UJ	2	9
DZ	8	32
UK	8	32
UL	334	3178
UM	126	750
UN	7537	64185
UP	707	4265
EA	301	1843
EB	79	550
UR	365	2257
EC	432	3344
US	117	742
ED	166	1189
UT	112	805
EE	35	151
EF	184	1443
UV	21	96
EG	138	854
EH	3	6
UX	10	79
EI	98	619
EJ	27	183
EK	20	103
EL	815	7308
EM	1053	7584
EN	2347	17733
EO	37	213
EP	762	5920
VA	984	6657
EQ	215	1877
ER	422	2874
ES	471	3315
ET	375	2876
VE	1231	8706
EU	411	3069
EV	375	2814
EW	14	35
EX	1959	16421
VI	1383	9710
EY	122	675
VL	4	9
VO	576	3953
FA	1509	9823
VR	18	93
FE	1126	7546
VU	130	955
FI	1355	8810
VY	2	8
FJ	5	19
FL	1653	11057
FO	2002	13871
WA	1545	9368
FR	1312	9172
WE	709	4347
FU	849	5329
WH	941	5974
WI	1040	6428
FY	16	53
WO	890	5765
GA	1694	10650
WR	276	1639
GE	1106	8270
WU	42	198
GH	104	629
GI	557	3096
WY	25	90
GJ	4	14
GL	1002	6878
GM	4	26
GN	101	635
GO	1049	6387
XA	48	412
GR	1900	12889
XE	141	1088
GU	801	4607
GW	8	42
XI	21	189
GY	264	1897
XO	2	7
HA	2245	14659
HE	2335	17742
HI	849	6088
XY	90	627
HM	1	1
HO	2066	14001
YA	263	1228
YB	6	23
HR	2	11
YC	9	42
YD	2	6
YE	234	1220
HU	670	4032
YF	1	3
YG	3	9
HW	3	7
YI	62	286
HY	1677	16037
YL	5	13
YM	6	19
YN	2	9
YO	213	975
YP	9	49
IA	24	180
IB	13	60
YR	6	23
IC	219	1648
YS	6	28
ID	236	1724
YT	15	91
YU	88	357
IF	7	27
IG	89	578
YW	2	6
IH	2	7
II	2	5
IJ	2	11
IK	6	21
IL	235	1924
IM	1601	14308
IN	6273	58380
IO	100	604
IP	17	126
ZA	162	808
IR	501	4852
IS	470	3454
IT	95	670
ZE	172	893
IU	1	2
IV	15	79
IW	1	2
ZH	4	10
IX	10	42
ZI	214	1183
IZ	14	61
ZL	5	20
ZO	397	2606
JA	645	3702
JE	340	1944
ZU	29	150
ZW	7	59
JH	2	7
JI	231	1203
ZY	121	871
JN	2	7
JO	441	2526
JU	428	2619
JY	3	10
KA	554	3021
KB	2	5
KE	519	2873
KG	2	9
KH	101	503
KI	715	4255
KL	99	637
KN	331	2059
KO	214	991
KR	110	594
KS	2	5
KU	86	394
KV	17	88
KW	8	44
KY	71	317
LA	2050	13195
LB	1	1
LE	1334	8783
LH	2	17
LI	1733	11598
LL	6	25
LO	1319	7845
LU	659	4013
LW	2	5
LY	242	1721
MA	3636	25610
MB	4	20
ME	2547	19735
MG	2	9
MH	4	10
MI	3685	29705
MN	17	113
MO	2707	18732
MP	2	7
MR	8	54
MU	1545	11053
MV	2	7
MY	471	3583
MZ	4	14
NA	822	5171
NE	1504	11853
NG	7	30
NH	2	9
NI	697	4513
NO	2765	23969
NT	1	1
NU	507	3390
NY	84	557
OA	68	314
OB	588	4528
OC	343	2462
OD	153	1016
OE	66	448
OF	157	1061
OG	38	152
OH	16	52
OI	69	331
OJ	2	7
OK	20	66
OL	202	1404
OM	181	1361
ON	235	1653
OO	127	659
OP	511	4102
OQ	2	11
OR	878	6835
OS	319	2443
OT	86	671
OU	1766	12294
OV	2406	21645
OW	58	253
OX	179	1177
OY	22	117
OZ	41	261
PA	4105	31442
PE	3196	24079
PF	7	34
PH	1943	18797
PI	1625	10148
PL	1505	10748
PN	59	654
PO	3109	22740
